name,x,y,z,lat,lon,A_SEFD,B_SEFD,C_SEFD,D_SEFD,selected
RAEGYEB,4848831.0211,-261629.388,4122976.5762,40.52,3.09,1700,1600,1600,1600,1
SANTIA12,1769693.6715,-5044504.7424,-3468434.7103,-33.15,70.67,3000,5000,5000,5000,1
SC-VLBA,2607848.7124,-5488069.4784,1932739.8355,17.76,64.58,400,500,500,500,1
SEJONG,-3110080.2365,4082066.572,3775076.7409,36.52,-127.3,5000,5000,5000,5000,1
SESHAN25,-2831687.6372,4675733.372,3275327.41,31.1,238.8,1100,700,700,700,1
SEST,1838237.8753,-5258699.29,-3100588.8454,-29.26,70.73,12000,8000,8000,8000,1
SINTOTU3,-3642141.8448,2861496.6425,4370361.7179,43.53,218.16,77700,70900,70900,70900,1
SVETLOE,2730173.5236,1562442.8893,5529969.2098,60.53,330.22,600,400,400,400,1
SYOWA,1766194.2637,1460410.8933,-5932273.3339,-69.01,320.42,7500,11230,11230,11230,1
TATEYAMA,-4000983.1586,3375276.026,3632213.4197,35.21,220.35,4500,4500,4500,4500,1
TIANMA65,-2826708.837,4679236.9493,3274667.4371,31.09,238.86,90,60,60,60,1
TIDBIN64,-4460895.5331,2682361.5069,-3674747.2345,-35.4,211.02,200,185,185,185,1
TORUN,3638558.54,1221969.7,5077036.76,53.1,341.44,250,250,250,250,1
TSUKUB32,-3957408.832,3310229.5237,3737494.6862,36.11,219.91,360,320,320,320,1
UCHINOUR,-3586229.4416,4114103.6762,3290224.6465,31.25,-131.08,360,460,460,460,1
URUMQI,228309.9519,4631922.734,4367064.1014,43.47,272.82,1500,1500,1500,1500,1
USSURISK,-3059725.1279,3427256.7423,4409485.4177,44.02,228.24,100,100,100,100,1
VERAISGK,-3263995.5413,4808056.4495,2619948.5299,24.4,235.87,13160,4880,4880,4880,1
VERAMZSW,-3857241.829,3108784.809,4003900.523,39.13,218.87,13160,4880,4880,4880,1
VLA,-1601185.317,-5041977.5406,3554875.9311,34.08,107.62,0,0,0,0,1
WARK12M,-5115324.5948,477843.2566,-3767192.5774,-36.6,185.17,4200,4600,4600,4600,1
WESTFORD,1492206.2228,-4458130.5523,4296015.6288,42.61,71.49,4000,3000,3000,3000,1
WETTZ13N,4075627.5408,931774.3941,4801552.4514,49.15,347.12,1050,1400,1400,1400,1
WETTZ13S,4075658.8067,931824.8831,4801516.2728,49.15,347.12,1050,1400,1400,1400,1
WETTZELL,4075539.5053,931735.6625,4801629.6156,49.15,347.12,1115,750,750,750,1
WSTRBORK,3828444.78,445223.49,5064921.57,52.92,353.37,60,60,60,60,1
YARRA12M,-2388896.5,5043350.0508,-3078590.4623,-29.05,244.65,4300,5800,5800,5800,1
YEBES40M,4848761.7066,-261484.0405,4123085.111,40.52,3.09,1500,250,250,250,1
ZELENCHK,3451207.372,3060375.5323,4391915.1362,43.79,318.43,600,400,400,400,1
