YMDHM,Second,Source,Station1,Station2,El1,Az1,El2,Az2,A_freq,B_freq,C_freq,D_freq,tot_freq
20/12/22-18:09,34.0,0613+570,WESTFORD,RAEGYEB,0.1876520273484925,0.17097110201785964,0.5447297672118372,0.688343048421625,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,WESTFORD,WETTZ13S,0.1876520273484925,0.17097110201785964,0.7894866670508034,0.8564847453447089,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,WETTZ13S,RAEGYEB,0.7894866670508034,0.8564847453447089,0.5447297672118372,0.688343048421625,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:10,42.0,1351-018,GGAO12M,ISHIOKA,0.12682232432397275,4.5585979917534,0.33515639300480377,1.8811762260613776,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:10,42.0,1351-018,GGAO12M,KOKEE12M,0.12682232432397275,4.5585979917534,1.14067002394958,2.9724220032393256,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:10,42.0,1351-018,GGAO12M,MACGO12M,0.12682232432397275,4.5585979917534,0.5399118600233428,4.292515026959616,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:10,42.0,1351-018,ISHIOKA,KOKEE12M,0.33515639300480377,1.8811762260613776,1.14067002394958,2.9724220032393256,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:10,42.0,1351-018,ISHIOKA,MACGO12M,0.33515639300480377,1.8811762260613776,0.5399118600233428,4.292515026959616,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:10,42.0,1351-018,KOKEE12M,MACGO12M,1.14067002394958,2.9724220032393256,0.5399118600233428,4.292515026959616,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:11,54.0,0059+581,GGAO12M,ISHIOKA,0.5827872090733874,0.6752952957804198,0.24128715278400045,5.851608835394205,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:11,54.0,0059+581,GGAO12M,MACGO12M,0.5827872090733874,0.6752952957804198,0.24565141746788802,0.5083506233036185,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:11,54.0,0059+581,GGAO12M,ONSA13NE,0.5827872090733874,0.6752952957804198,1.5502864189154668,5.994346026258113,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:11,54.0,0059+581,GGAO12M,ONSA13SW,0.5827872090733874,0.6752952957804198,1.5502798550594854,5.994808945604702,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:11,54.0,0059+581,GGAO12M,RAEGYEB,0.5827872090733874,0.6752952957804198,1.2187480317861694,0.38525963636769356,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:11,54.0,0059+581,GGAO12M,WESTFORD,0.5827872090733874,0.6752952957804198,0.6760785992163619,0.7263846129120077,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:11,54.0,0059+581,GGAO12M,WETTZ13S,0.5827872090733874,0.6752952957804198,1.4063555964943282,6.194024705945856,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:11,54.0,0059+581,ISHIOKA,MACGO12M,0.24128715278400045,5.851608835394205,0.24565141746788802,0.5083506233036185,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:11,54.0,0059+581,ISHIOKA,ONSA13NE,0.24128715278400045,5.851608835394205,1.5502864189154668,5.994346026258113,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
